project_id,anomaly_type,risk_level,reason,label_source
MPLADS-SYN-0001,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0002,cost_anomaly,High,High expenditure relative to physical progress,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0003,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0004,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0005,delay,High,Physical progress is below expected schedule,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0006,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0007,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0008,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0009,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0010,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0011,duplicate,High,Potentially similar project/location requires verification,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0012,cost_anomaly,High,High expenditure relative to physical progress,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0013,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0014,cost_anomaly,High,High expenditure relative to physical progress,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0015,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0016,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0017,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0018,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0019,cost_anomaly,High,High expenditure relative to physical progress,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0020,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0021,duplicate,High,Potentially similar project/location requires verification,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0022,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0023,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0024,delay,High,Physical progress is below expected schedule,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0025,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0026,cost_anomaly,High,High expenditure relative to physical progress,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0027,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0028,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0029,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0030,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0031,cost_anomaly,High,High expenditure relative to physical progress,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0032,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0033,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0034,duplicate,High,Potentially similar project/location requires verification,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0035,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0036,payment_anomaly,Medium,Prototype payment pattern anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0037,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0038,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0039,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0040,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0041,delay,High,Physical progress is below expected schedule,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0042,duplicate,High,Potentially similar project/location requires verification,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0043,duplicate,High,Potentially similar project/location requires verification,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0044,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0045,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0046,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0047,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0048,cost_anomaly,High,High expenditure relative to physical progress,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0049,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0050,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0051,cost_anomaly,High,High expenditure relative to physical progress,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0052,cost_anomaly,High,High expenditure relative to physical progress,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0053,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0054,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0055,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0056,cost_anomaly,High,High expenditure relative to physical progress,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0057,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0058,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0059,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0060,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0061,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0062,cost_anomaly,High,High expenditure relative to physical progress,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0063,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0064,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0065,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0066,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0067,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0068,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0069,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0070,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0071,duplicate,High,Potentially similar project/location requires verification,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0072,delay,High,Physical progress is below expected schedule,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0073,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
