bid_id,tender_id,project_id,contractor_id,bid_amount,submission_date,eligibility_status,technical_score,financial_rank,bid_status
BID-000001,TND-00001,MPLADS-SYN-0001,CON-001,724648.51,2026-02-17,Eligible,78.54,1,Selected
BID-000002,TND-00001,MPLADS-SYN-0001,CON-005,830710.93,2026-02-17,Eligible,81.32,5,Not Selected
BID-000003,TND-00001,MPLADS-SYN-0001,CON-003,901401.15,2026-02-17,Eligible,69.21,6,Not Selected
BID-000004,TND-00001,MPLADS-SYN-0001,CON-004,751582.7,2026-02-17,Ineligible,,,Ineligible
BID-000005,TND-00001,MPLADS-SYN-0001,CON-006,763299.39,2026-02-17,Eligible,64.28,3,Not Selected
BID-000006,TND-00001,MPLADS-SYN-0001,CON-002,781784.32,2026-02-17,Eligible,73.24,4,Not Selected
BID-000007,TND-00001,MPLADS-SYN-0001,CON-007,762751.36,2026-02-17,Eligible,89.25,2,Not Selected
BID-000008,TND-00002,MPLADS-SYN-0002,CON-002,1989335.55,2026-05-06,Eligible,65.93,3,Not Selected
BID-000009,TND-00002,MPLADS-SYN-0002,CON-003,2260346.5,2026-05-06,Eligible,64.27,4,Not Selected
BID-000010,TND-00002,MPLADS-SYN-0002,CON-006,1891359.56,2026-05-06,Eligible,93.01,2,Not Selected
BID-000011,TND-00002,MPLADS-SYN-0002,CON-005,2310523.34,2026-05-06,Eligible,73.04,6,Not Selected
BID-000012,TND-00002,MPLADS-SYN-0002,CON-004,2301843.72,2026-05-06,Eligible,77.1,5,Not Selected
BID-000013,TND-00002,MPLADS-SYN-0002,CON-007,1873954.59,2026-05-06,Eligible,88.12,1,Not Selected
BID-000014,TND-00003,MPLADS-SYN-0003,CON-002,674432.71,2026-01-26,Ineligible,,,Not Selected
BID-000015,TND-00003,MPLADS-SYN-0003,CON-004,671112.58,2026-01-26,Eligible,86.55,1,Not Selected
BID-000016,TND-00004,MPLADS-SYN-0004,CON-001,1779058.37,2026-06-06,Eligible,60.72,4,Submitted
BID-000017,TND-00004,MPLADS-SYN-0004,CON-005,1760306.81,2026-06-06,Ineligible,,,Submitted
BID-000018,TND-00004,MPLADS-SYN-0004,CON-002,1806664.55,2026-06-06,Eligible,78.42,6,Under Evaluation
BID-000019,TND-00004,MPLADS-SYN-0004,CON-006,1648806.39,2026-06-06,Eligible,67.56,3,Submitted
BID-000020,TND-00004,MPLADS-SYN-0004,CON-003,1801301.44,2026-06-06,Eligible,69.4,5,Submitted
BID-000021,TND-00004,MPLADS-SYN-0004,CON-004,1620883.84,2026-06-06,Eligible,74.95,2,Under Evaluation
BID-000022,TND-00004,MPLADS-SYN-0004,CON-007,1467264.67,2026-06-06,Eligible,73.37,1,Not Selected
BID-000023,TND-00005,MPLADS-SYN-0005,CON-005,1131362.92,2026-02-14,Eligible,83.78,1,Not Selected
BID-000024,TND-00005,MPLADS-SYN-0005,CON-002,1240816.41,2026-02-14,Eligible,95.88,2,Not Selected
BID-000025,TND-00005,MPLADS-SYN-0005,CON-007,1261243.76,2026-02-14,Eligible,65.76,3,Not Selected
BID-000026,TND-00006,MPLADS-SYN-0006,CON-007,636943.77,2026-07-25,Eligible,92.78,1,Not Selected
BID-000027,TND-00006,MPLADS-SYN-0006,CON-005,667619.71,2026-07-25,Eligible,76.34,2,Not Selected
BID-000028,TND-00006,MPLADS-SYN-0006,CON-001,775620.38,2026-07-25,Eligible,84.94,6,Not Selected
BID-000029,TND-00006,MPLADS-SYN-0006,CON-003,713671.97,2026-07-25,Eligible,72.06,4,Not Selected
BID-000030,TND-00006,MPLADS-SYN-0006,CON-002,712321.25,2026-07-25,Eligible,67.0,3,Not Selected
BID-000031,TND-00006,MPLADS-SYN-0006,CON-004,763114.05,2026-07-25,Eligible,87.63,5,Not Selected
BID-000032,TND-00006,MPLADS-SYN-0006,CON-006,749778.3,2026-07-25,Ineligible,,,Ineligible
BID-000033,TND-00007,MPLADS-SYN-0007,CON-007,1765673.08,2026-03-29,Eligible,65.0,4,Not Selected
BID-000034,TND-00007,MPLADS-SYN-0007,CON-003,1447568.75,2026-03-29,Eligible,83.01,2,Not Selected
BID-000035,TND-00007,MPLADS-SYN-0007,CON-006,1695222.95,2026-03-29,Eligible,68.77,3,Not Selected
BID-000036,TND-00007,MPLADS-SYN-0007,CON-002,1447520.7,2026-03-29,Eligible,86.15,1,Not Selected
