complaint_id,project_id,date,complaint_type,description,latitude,longitude,status,data_source
C-0002,MPLADS-SYN-0002,2026-06-14,Cost Concern,Citizen requests verification,15.794127,79.481841,Open,SYNTHETIC_PROTOTYPE
C-0005,MPLADS-SYN-0005,2026-05-11,Cost Concern,Reported work not visible at site,17.950685,80.896474,Open,SYNTHETIC_PROTOTYPE
C-0011,MPLADS-SYN-0011,2026-10-06,Cost Concern,Citizen requests verification,12.379855,79.808196,Open,SYNTHETIC_PROTOTYPE
C-0012,MPLADS-SYN-0012,2026-10-02,Duplicate Work Concern,Citizen requests verification,22.744779,80.327667,Under Review,SYNTHETIC_PROTOTYPE
C-0014,MPLADS-SYN-0014,2026-05-30,Duplicate Work Concern,Citizen requests verification,8.635702,76.081035,Open,SYNTHETIC_PROTOTYPE
C-0019,MPLADS-SYN-0019,2026-07-04,Cost Concern,Quality requires inspection,21.275238,86.98913,Resolved,SYNTHETIC_PROTOTYPE
C-0021,MPLADS-SYN-0021,2026-08-11,Work Not Started,Citizen requests verification,19.301755,78.330415,Under Review,SYNTHETIC_PROTOTYPE
C-0024,MPLADS-SYN-0024,2026-03-18,Work Not Started,Citizen requests verification,23.90456,75.796134,Under Review,SYNTHETIC_PROTOTYPE
C-0026,MPLADS-SYN-0026,2026-06-03,Duplicate Work Concern,Reported work not visible at site,17.089699,87.685412,Open,SYNTHETIC_PROTOTYPE
C-0028,MPLADS-SYN-0028,2026-06-06,Delay,Work appears slow,19.999704,83.751499,Under Review,SYNTHETIC_PROTOTYPE
C-0031,MPLADS-SYN-0031,2026-09-26,Delay,Citizen requests verification,22.426743,80.255312,Open,SYNTHETIC_PROTOTYPE
C-0032,MPLADS-SYN-0032,2026-07-08,Work Not Started,Work appears slow,23.584993,82.817808,Open,SYNTHETIC_PROTOTYPE
C-0034,MPLADS-SYN-0034,2027-01-12,Delay,Work appears slow,16.035787,81.819686,Resolved,SYNTHETIC_PROTOTYPE
C-0036,MPLADS-SYN-0036,2026-07-24,Duplicate Work Concern,Citizen requests verification,18.289591,75.88949,Under Review,SYNTHETIC_PROTOTYPE
C-0039,MPLADS-SYN-0039,2026-10-19,Work Not Started,Citizen requests verification,11.701156,76.845276,Open,SYNTHETIC_PROTOTYPE
C-0041,MPLADS-SYN-0041,2026-03-11,Work Quality,Quality requires inspection,22.738567,80.67288,Resolved,SYNTHETIC_PROTOTYPE
C-0042,MPLADS-SYN-0042,2026-07-05,Cost Concern,Citizen requests verification,26.489834,77.57115,Under Review,SYNTHETIC_PROTOTYPE
C-0043,MPLADS-SYN-0043,2026-09-24,Duplicate Work Concern,Work appears slow,10.889381,72.834711,Under Review,SYNTHETIC_PROTOTYPE
C-0048,MPLADS-SYN-0048,2026-03-13,Duplicate Work Concern,Citizen requests verification,27.725001,87.279716,Open,SYNTHETIC_PROTOTYPE
C-0051,MPLADS-SYN-0051,2026-08-05,Delay,Work appears slow,25.928137,74.19502,Open,SYNTHETIC_PROTOTYPE
C-0052,MPLADS-SYN-0052,2026-12-29,Cost Concern,Citizen requests verification,24.775438,75.908423,Resolved,SYNTHETIC_PROTOTYPE
C-0056,MPLADS-SYN-0056,2026-09-13,Work Not Started,Work appears slow,12.63192,83.287035,Resolved,SYNTHETIC_PROTOTYPE
C-0062,MPLADS-SYN-0062,2026-11-24,Work Quality,Citizen requests verification,20.032752,77.739505,Under Review,SYNTHETIC_PROTOTYPE
C-0064,MPLADS-SYN-0064,2026-06-11,Delay,Citizen requests verification,18.911818,81.847265,Under Review,SYNTHETIC_PROTOTYPE
C-0065,MPLADS-SYN-0065,2026-10-08,Work Quality,Citizen requests verification,18.142278,77.32809,Open,SYNTHETIC_PROTOTYPE
C-0068,MPLADS-SYN-0068,2026-04-22,Cost Concern,Work appears slow,18.38533,82.371851,Under Review,SYNTHETIC_PROTOTYPE
C-0071,MPLADS-SYN-0071,2026-07-18,Cost Concern,Quality requires inspection,22.588148,73.534028,Open,SYNTHETIC_PROTOTYPE
C-0072,MPLADS-SYN-0072,2026-05-07,Work Quality,Reported work not visible at site,25.474678,73.491547,Resolved,SYNTHETIC_PROTOTYPE
C-0074,MPLADS-SYN-0074,2026-10-08,Work Quality,Citizen requests verification,23.720432,88.492197,Open,SYNTHETIC_PROTOTYPE
C-0076,MPLADS-SYN-0076,2026-04-06,Cost Concern,Citizen requests verification,21.043356,87.890219,Under Review,SYNTHETIC_PROTOTYPE
C-0077,MPLADS-SYN-0077,2026-05-29,Duplicate Work Concern,Citizen requests verification,11.297156,73.236983,Under Review,SYNTHETIC_PROTOTYPE
C-0080,MPLADS-SYN-0080,2026-08-16,Delay,Reported work not visible at site,24.106323,86.315239,Under Review,SYNTHETIC_PROTOTYPE
C-0083,MPLADS-SYN-0083,2026-07-19,Work Not Started,Reported work not visible at site,23.103985,81.619119,Under Review,SYNTHETIC_PROTOTYPE
C-0084,MPLADS-SYN-0084,2026-10-13,Work Quality,Citizen requests verification,25.853549,74.488963,Open,SYNTHETIC_PROTOTYPE
C-0085,MPLADS-SYN-0085,2026-06-12,Work Quality,Reported work not visible at site,23.039802,75.733743,Open,SYNTHETIC_PROTOTYPE
C-0087,MPLADS-SYN-0087,2026-09-07,Delay,Work appears slow,21.769887,86.964174,Open,SYNTHETIC_PROTOTYPE
