contract_id,project_id,tender_id,implementing_agency_id,contractor_id,contract_amount,contract_start_date,contract_end_date,contract_status
CTR-00001,MPLADS-SYN-0001,TND-00001,IA-005,CON-001,741277.79,2026-03-07,2026-10-23,Delayed
CTR-00002,MPLADS-SYN-0005,TND-00005,IA-001,CON-003,1099747.92,2026-02-27,2026-10-03,Delayed
CTR-00003,MPLADS-SYN-0007,TND-00007,IA-003,CON-004,1680496.49,2026-04-03,2027-03-20,Active
CTR-00004,MPLADS-SYN-0009,TND-00009,IA-002,CON-007,2417966.44,2026-07-10,2027-07-09,Active
CTR-00005,MPLADS-SYN-0010,TND-00010,IA-006,CON-005,2318059.13,2026-04-07,2026-10-05,Delayed
CTR-00006,MPLADS-SYN-0015,TND-00015,IA-003,CON-004,1218754.09,2026-06-02,2027-01-23,Completed
CTR-00007,MPLADS-SYN-0018,TND-00018,IA-005,CON-002,571687.3,2026-07-27,2026-11-29,Active
CTR-00008,MPLADS-SYN-0024,TND-00024,IA-003,CON-002,1996551.05,2026-01-14,2026-10-17,Active
CTR-00009,MPLADS-SYN-0025,TND-00025,IA-006,CON-001,563652.37,2026-01-19,2026-08-14,Active
CTR-00010,MPLADS-SYN-0026,TND-00026,IA-004,CON-003,1275953.04,2026-05-04,2027-01-17,Active
CTR-00011,MPLADS-SYN-0027,TND-00027,IA-007,CON-007,864593.63,2026-03-10,2027-04-02,Active
CTR-00012,MPLADS-SYN-0028,TND-00028,IA-001,CON-005,2440696.3,2026-01-25,2026-06-25,Delayed
CTR-00013,MPLADS-SYN-0030,TND-00030,IA-003,CON-006,858434.16,2026-04-27,2026-12-28,Active
CTR-00014,MPLADS-SYN-0031,TND-00031,IA-005,CON-006,968783.32,2026-07-11,2027-03-08,Delayed
CTR-00015,MPLADS-SYN-0036,TND-00036,IA-006,CON-001,2192652.82,2026-06-17,2027-03-24,Completed
CTR-00016,MPLADS-SYN-0038,TND-00038,IA-001,CON-006,1324018.76,2026-03-30,2026-08-04,Active
CTR-00017,MPLADS-SYN-0040,TND-00040,IA-005,CON-006,744770.87,2025-12-19,2027-01-21,Active
CTR-00018,MPLADS-SYN-0044,TND-00044,IA-002,CON-003,913211.4,2026-08-08,2027-05-13,Completed
CTR-00019,MPLADS-SYN-0045,TND-00045,IA-006,CON-003,1599205.3,2026-08-04,2027-04-18,Active
CTR-00020,MPLADS-SYN-0047,TND-00047,IA-005,CON-003,919007.61,2026-03-09,2026-12-05,Completed
CTR-00021,MPLADS-SYN-0049,TND-00049,IA-001,CON-005,1960080.02,2026-05-06,2026-11-21,Active
CTR-00022,MPLADS-SYN-0051,TND-00051,IA-001,CON-004,3147699.86,2026-06-30,2027-01-16,Completed
CTR-00023,MPLADS-SYN-0053,TND-00053,IA-004,CON-003,2676159.62,2026-03-04,2026-11-04,Completed
CTR-00024,MPLADS-SYN-0054,TND-00054,IA-003,CON-003,2330031.85,2026-08-18,2026-12-19,Completed
CTR-00025,MPLADS-SYN-0055,TND-00055,IA-002,CON-002,3348292.19,2026-01-14,2026-12-24,Delayed
CTR-00026,MPLADS-SYN-0057,TND-00057,IA-001,CON-005,1337890.25,2026-03-31,2027-01-24,Active
CTR-00027,MPLADS-SYN-0059,TND-00059,IA-002,CON-006,1203307.71,2026-05-28,2026-11-24,Delayed
CTR-00028,MPLADS-SYN-0061,TND-00061,IA-006,CON-001,1528032.67,2026-07-14,2026-12-14,Completed
CTR-00029,MPLADS-SYN-0063,TND-00063,IA-005,CON-001,1235935.38,2026-08-12,2027-07-11,Completed
CTR-00030,MPLADS-SYN-0065,TND-00065,IA-004,CON-002,558803.74,2026-07-07,2026-11-08,Completed
CTR-00031,MPLADS-SYN-0068,TND-00068,IA-006,CON-002,411986.13,2026-03-18,2026-09-06,Completed
CTR-00032,MPLADS-SYN-0069,TND-00069,IA-007,CON-002,739865.09,2026-05-17,2027-05-25,Completed
CTR-00033,MPLADS-SYN-0075,TND-00075,IA-005,CON-007,2185704.75,2026-05-18,2026-12-22,Active
CTR-00034,MPLADS-SYN-0078,TND-00078,IA-001,CON-006,3258198.27,2026-04-18,2026-11-22,Delayed
CTR-00035,MPLADS-SYN-0079,TND-00079,IA-002,CON-005,366069.61,2026-01-01,2026-05-20,Completed
CTR-00036,MPLADS-SYN-0080,TND-00080,IA-007,CON-002,1426915.19,2026-01-07,2026-10-13,Active
CTR-00037,MPLADS-SYN-0082,TND-00082,IA-004,CON-004,3115706.04,2026-01-09,2026-10-09,Completed
CTR-00038,MPLADS-SYN-0086,TND-00086,IA-006,CON-001,2037618.56,2026-01-02,2026-06-18,Active
CTR-00039,MPLADS-SYN-0090,TND-00090,IA-002,CON-003,552750.69,2026-03-14,2027-03-29,Active
CTR-00040,MPLADS-SYN-0092,TND-00092,IA-007,CON-004,1739499.23,2026-06-18,2027-05-01,Active
CTR-00041,MPLADS-SYN-0093,TND-00093,IA-006,CON-001,1045525.69,2026-03-12,2026-08-15,Active
CTR-00042,MPLADS-SYN-0094,TND-00094,IA-006,CON-003,1465250.79,2026-01-07,2026-08-17,Completed
CTR-00043,MPLADS-SYN-0096,TND-00096,IA-002,CON-002,1751997.96,2026-03-21,2027-01-31,Completed
CTR-00044,MPLADS-SYN-0097,TND-00097,IA-001,CON-007,1732866.23,2026-02-05,2026-10-19,Active
CTR-00045,MPLADS-SYN-0100,TND-00100,IA-004,CON-003,3042055.67,2026-01-19,2027-03-10,Active
CTR-00046,MPLADS-SYN-0108,TND-00108,IA-002,CON-007,3108837.38,2026-03-23,2026-08-08,Active
CTR-00047,MPLADS-SYN-0109,TND-00109,IA-005,CON-004,1469787.09,2026-06-01,2027-01-30,Delayed
CTR-00048,MPLADS-SYN-0110,TND-00110,IA-003,CON-001,1674801.86,2026-07-19,2027-05-30,Delayed
CTR-00049,MPLADS-SYN-0114,TND-00114,IA-003,CON-007,1878816.34,2026-02-05,2027-01-12,Delayed
CTR-00050,MPLADS-SYN-0117,TND-00117,IA-004,CON-002,2094968.42,2026-07-03,2027-01-27,Active
CTR-00051,MPLADS-SYN-0118,TND-00118,IA-003,CON-002,753000.93,2026-05-11,2027-06-26,Completed
CTR-00052,MPLADS-SYN-0120,TND-00120,IA-002,CON-003,3643164.91,2026-04-09,2026-12-04,Active
CTR-00053,MPLADS-SYN-0121,TND-00121,IA-003,CON-001,3721835.66,2026-01-12,2027-02-11,Delayed
CTR-00054,MPLADS-SYN-0124,TND-00124,IA-003,CON-004,412672.01,2026-08-12,2027-01-26,Completed
CTR-00055,MPLADS-SYN-0127,TND-00127,IA-006,CON-002,4903705.93,2026-06-22,2026-12-06,Active
CTR-00056,MPLADS-SYN-0130,TND-00130,IA-001,CON-006,350577.81,2026-02-07,2027-03-11,Active
CTR-00057,MPLADS-SYN-0134,TND-00134,IA-004,CON-006,2770005.36,2026-07-18,2026-11-23,Active
