payment_id,project_id,payment_date,amount,payment_type,agency,data_source
PAY-0001-1,MPLADS-SYN-0001,2026-05-29,109269,First Payment,Public Works Department,SYNTHETIC_PROTOTYPE
PAY-0001-2,MPLADS-SYN-0001,2026-03-28,79381,Milestone Payment,Public Works Department,SYNTHETIC_PROTOTYPE
PAY-0001-3,MPLADS-SYN-0001,2026-08-05,148368,Milestone Payment,Public Works Department,SYNTHETIC_PROTOTYPE
PAY-0001-4,MPLADS-SYN-0001,2026-03-15,218655,Final Payment,Public Works Department,SYNTHETIC_PROTOTYPE
PAY-0002-1,MPLADS-SYN-0002,2026-08-02,427090,Running Bill,Zilla Parishad,SYNTHETIC_PROTOTYPE
PAY-0002-2,MPLADS-SYN-0002,2026-08-28,505324,First Payment,Zilla Parishad,SYNTHETIC_PROTOTYPE
PAY-0002-3,MPLADS-SYN-0002,2026-05-17,200470,Milestone Payment,Zilla Parishad,SYNTHETIC_PROTOTYPE
PAY-0002-4,MPLADS-SYN-0002,2026-05-21,193601,Running Bill,Zilla Parishad,SYNTHETIC_PROTOTYPE
PAY-0002-5,MPLADS-SYN-0002,2026-07-24,522515,Milestone Payment,Zilla Parishad,SYNTHETIC_PROTOTYPE
PAY-0003-1,MPLADS-SYN-0003,2026-04-03,72745,Running Bill,Zilla Parishad,SYNTHETIC_PROTOTYPE
PAY-0003-2,MPLADS-SYN-0003,2026-05-07,92633,Milestone Payment,Zilla Parishad,SYNTHETIC_PROTOTYPE
PAY-0003-3,MPLADS-SYN-0003,2026-04-24,102058,Running Bill,Zilla Parishad,SYNTHETIC_PROTOTYPE
PAY-0003-4,MPLADS-SYN-0003,2026-04-08,129070,First Payment,Zilla Parishad,SYNTHETIC_PROTOTYPE
PAY-0004-1,MPLADS-SYN-0004,2026-08-10,336941,Milestone Payment,Municipal Council,SYNTHETIC_PROTOTYPE
PAY-0004-2,MPLADS-SYN-0004,2026-08-25,165766,Final Payment,Municipal Council,SYNTHETIC_PROTOTYPE
PAY-0004-3,MPLADS-SYN-0004,2026-07-05,423249,Running Bill,Municipal Council,SYNTHETIC_PROTOTYPE
PAY-0005-1,MPLADS-SYN-0005,2026-05-31,203684,First Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0005-2,MPLADS-SYN-0005,2026-05-20,175447,First Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0005-3,MPLADS-SYN-0005,2026-05-31,54318,Milestone Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0005-4,MPLADS-SYN-0005,2026-03-12,104821,Running Bill,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0005-5,MPLADS-SYN-0005,2026-03-23,163830,Running Bill,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0006-1,MPLADS-SYN-0006,2027-01-13,99453,Final Payment,Municipal Council,SYNTHETIC_PROTOTYPE
PAY-0006-2,MPLADS-SYN-0006,2026-12-30,149087,Running Bill,Municipal Council,SYNTHETIC_PROTOTYPE
PAY-0006-3,MPLADS-SYN-0006,2026-12-25,57880,First Payment,Municipal Council,SYNTHETIC_PROTOTYPE
