update_id,project_id,date,physical_progress,financial_progress,reported_by,data_source
PR-0001-1,MPLADS-SYN-0001,2026-04-28,26,27,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0001-2,MPLADS-SYN-0001,2026-07-03,47,50,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0001-3,MPLADS-SYN-0001,2026-09-09,65,78,District Authority,SYNTHETIC_PROTOTYPE
PR-0002-1,MPLADS-SYN-0002,2026-06-11,7,28,Field Officer,SYNTHETIC_PROTOTYPE
PR-0002-2,MPLADS-SYN-0002,2026-07-20,13,54,Field Officer,SYNTHETIC_PROTOTYPE
PR-0002-3,MPLADS-SYN-0002,2026-08-30,24,84,District Authority,SYNTHETIC_PROTOTYPE
PR-0003-1,MPLADS-SYN-0003,2026-03-20,28,21,Field Officer,SYNTHETIC_PROTOTYPE
PR-0003-2,MPLADS-SYN-0003,2026-04-13,44,39,Field Officer,SYNTHETIC_PROTOTYPE
PR-0003-3,MPLADS-SYN-0003,2026-05-08,77,65,Field Officer,SYNTHETIC_PROTOTYPE
PR-0004-1,MPLADS-SYN-0004,2026-07-19,19,22,Field Officer,SYNTHETIC_PROTOTYPE
PR-0004-2,MPLADS-SYN-0004,2026-08-28,41,38,Field Officer,SYNTHETIC_PROTOTYPE
PR-0004-3,MPLADS-SYN-0004,2026-10-09,68,57,Field Officer,SYNTHETIC_PROTOTYPE
PR-0005-1,MPLADS-SYN-0005,2026-03-28,12,22,District Authority,SYNTHETIC_PROTOTYPE
PR-0005-2,MPLADS-SYN-0005,2026-05-07,26,35,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0005-3,MPLADS-SYN-0005,2026-06-17,43,60,District Authority,SYNTHETIC_PROTOTYPE
PR-0006-1,MPLADS-SYN-0006,2026-09-29,26,28,District Authority,SYNTHETIC_PROTOTYPE
PR-0006-2,MPLADS-SYN-0006,2026-11-21,55,54,Field Officer,SYNTHETIC_PROTOTYPE
PR-0006-3,MPLADS-SYN-0006,2027-01-16,89,85,Field Officer,SYNTHETIC_PROTOTYPE
PR-0007-1,MPLADS-SYN-0007,2026-07-22,13,22,Field Officer,SYNTHETIC_PROTOTYPE
PR-0007-2,MPLADS-SYN-0007,2026-10-06,32,35,Field Officer,SYNTHETIC_PROTOTYPE
PR-0007-3,MPLADS-SYN-0007,2026-12-24,53,62,District Authority,SYNTHETIC_PROTOTYPE
PR-0008-1,MPLADS-SYN-0008,2026-04-21,13,20,District Authority,SYNTHETIC_PROTOTYPE
PR-0008-2,MPLADS-SYN-0008,2026-06-04,29,33,District Authority,SYNTHETIC_PROTOTYPE
PR-0008-3,MPLADS-SYN-0008,2026-07-19,49,57,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0009-1,MPLADS-SYN-0009,2026-08-21,22,15,District Authority,SYNTHETIC_PROTOTYPE
PR-0009-2,MPLADS-SYN-0009,2026-09-23,38,30,District Authority,SYNTHETIC_PROTOTYPE
PR-0009-3,MPLADS-SYN-0009,2026-10-27,57,54,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0010-1,MPLADS-SYN-0010,2026-05-30,22,15,Field Officer,SYNTHETIC_PROTOTYPE
PR-0010-2,MPLADS-SYN-0010,2026-06-28,46,35,Field Officer,SYNTHETIC_PROTOTYPE
PR-0010-3,MPLADS-SYN-0010,2026-07-28,71,59,District Authority,SYNTHETIC_PROTOTYPE
PR-0011-1,MPLADS-SYN-0011,2026-08-11,23,17,Field Officer,SYNTHETIC_PROTOTYPE
PR-0011-2,MPLADS-SYN-0011,2026-10-07,47,24,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0011-3,MPLADS-SYN-0011,2026-12-05,70,40,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0012-1,MPLADS-SYN-0012,2026-08-21,19,32,District Authority,SYNTHETIC_PROTOTYPE
PR-0012-2,MPLADS-SYN-0012,2026-10-17,32,58,Field Officer,SYNTHETIC_PROTOTYPE
PR-0012-3,MPLADS-SYN-0012,2026-12-15,53,88,District Authority,SYNTHETIC_PROTOTYPE
PR-0013-1,MPLADS-SYN-0013,2026-09-17,18,16,Field Officer,SYNTHETIC_PROTOTYPE
PR-0013-2,MPLADS-SYN-0013,2026-11-21,34,29,District Authority,SYNTHETIC_PROTOTYPE
PR-0013-3,MPLADS-SYN-0013,2027-01-27,47,51,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0014-1,MPLADS-SYN-0014,2026-05-10,15,29,Field Officer,SYNTHETIC_PROTOTYPE
PR-0014-2,MPLADS-SYN-0014,2026-07-24,32,51,District Authority,SYNTHETIC_PROTOTYPE
PR-0014-3,MPLADS-SYN-0014,2026-10-09,54,80,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0015-1,MPLADS-SYN-0015,2026-08-04,18,22,Implementing Agency,SYNTHETIC_PROTOTYPE
