project_id,state,district,constituency,work_type,work_description,sanction_amount,estimated_cost,expenditure,start_date,expected_completion,actual_completion_date,physical_progress,financial_progress,implementing_agency,contractor_agency,latitude,longitude,status,terrain,data_source
MPLADS-SYN-0001,Gujarat,Ahmedabad,Ahmedabad,Street Lighting,Street Lighting development work in Ahmedabad,810000,820000,555673,2026-02-22,2026-09-09,,67,76,Public Works Department,ABC Infrastructure Pvt Ltd,16.649397,72.491654,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0002,Rajasthan,Jaipur,Jaipur,Road,Road development work in Jaipur,2150000,2190000,1849000,2026-05-03,2026-08-30,,25,86,Zilla Parishad,District Works Cooperative,15.792588,79.48127,Under Review,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0003,Uttar Pradesh,Varanasi,Varanasi,Drinking Water,Drinking Water development work in Varanasi,650000,650000,396506,2026-02-25,2026-05-08,,73,65,Zilla Parishad,District Works Cooperative,11.133247,74.639703,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0004,Maharashtra,Solapur,Solapur,Drainage,Drainage development work in Solapur,1600000,1650000,925956,2026-06-10,2026-10-09,,66,58,Municipal Council,ABC Infrastructure Pvt Ltd,25.999197,87.624666,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0005,Maharashtra,Aurangabad,Aurangabad,School Building,School Building development work in Aurangabad,1190000,1160000,702100,2026-02-17,2026-06-17,,41,59,District Health Office,Maharashtra Works Agency,17.950997,80.89736,Delayed,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0006,Maharashtra,Pune,Pune,Drinking Water,Drinking Water development work in Pune,720000,720000,594998,2026-08-07,2027-01-16,,85,89,Municipal Council,ABC Infrastructure Pvt Ltd,15.768949,88.257596,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0007,Gujarat,Rajkot,Rajkot,Solar Lighting,Solar Lighting development work in Rajkot,1690000,1690000,913171,2026-05-07,2026-12-24,,54,58,Municipal Corporation,National Infra Services,12.893062,78.530466,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0008,Gujarat,Surat,Surat,Street Lighting,Street Lighting development work in Surat,500000,490000,270423,2026-03-09,2026-07-19,,51,57,Municipal Council,Om Civil Works,22.71105,75.359356,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0009,Rajasthan,Jaipur,Jaipur,Drainage,Drainage development work in Jaipur,2400000,2390000,1123553,2026-07-20,2026-10-27,,61,51,Education Department,Shree Buildcon,11.331286,85.198136,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0010,Tamil Nadu,Chennai,Chennai,School Building,School Building development work in Chennai,2290000,2330000,1289525,2026-05-02,2026-07-28,,67,60,Rural Development Agency,Om Civil Works,15.086586,84.976065,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0011,Maharashtra,Dhule,Dhule,Street Lighting,Street Lighting development work in Dhule,730000,730000,299300,2026-06-15,2026-12-05,,70,41,District Health Office,Sai Construction,12.380879,79.807572,Under Review,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0012,Gujarat,Rajkot,Rajkot,Community Hall,Community Hall development work in Rajkot,3200000,3170000,2848000,2026-06-25,2026-12-15,,50,89,Education Department,Om Civil Works,22.745116,80.32884,Under Review,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0013,Uttar Pradesh,Prayagraj,Prayagraj,Road,Road development work in Prayagraj,2880000,2910000,1277234,2026-07-14,2027-01-27,,49,47,District Health Office,National Infra Services,19.195712,81.953668,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0014,Maharashtra,Thane,Thane,Road,Road development work in Thane,2900000,2930000,2291000,2026-02-25,2026-10-09,,54,79,Education Department,ABC Infrastructure Pvt Ltd,8.636115,76.080175,Under Review,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0015,Gujarat,Kutch,Kutch,Road,Road development work in Kutch,1380000,1380000,837717,2026-06-03,2026-12-09,,62,63,Municipal Corporation,National Infra Services,8.259369,78.930969,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0016,Karnataka,Hubballi,Hubballi,Road,Road development work in Hubballi,1870000,1820000,1281894,2026-02-08,2026-07-22,,66,70,Public Works Department,Sai Construction,23.542375,83.395054,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0017,Karnataka,Bengaluru Urban,Bengaluru,Drinking Water,Drinking Water development work in Bengaluru Urban,1030000,1050000,665756,2026-03-10,2026-05-12,,53,65,Public Works Department,National Infra Services,10.594951,72.751009,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0018,Karnataka,Bengaluru Urban,Bengaluru,Drinking Water,Drinking Water development work in Bengaluru Urban,600000,600000,366798,2026-07-20,2027-02-17,,63,62,Public Works Department,District Works Cooperative,12.626586,80.622447,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0019,Bihar,Patna,Patna,Drinking Water,Drinking Water development work in Patna,990000,970000,752400,2026-04-14,2026-07-12,,19,76,Municipal Council,Om Civil Works,21.276512,86.988789,Under Review,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0020,Madhya Pradesh,Jabalpur,Jabalpur,Health Facility,Health Facility development work in Jabalpur,4350000,4350000,3690463,2026-07-25,2027-02-10,,84,86,Rural Development Agency,ABC Infrastructure Pvt Ltd,9.805226,76.164581,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0021,Madhya Pradesh,Ujjain,Ujjain,Street Lighting,Street Lighting development work in Ujjain,1520000,1500000,562400,2026-07-16,2027-01-12,,52,37,Rural Development Agency,Shree Buildcon,19.300934,78.329169,Under Review,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0022,Tamil Nadu,Chennai,Chennai,Library,Library development work in Chennai,550000,550000,269932,2026-08-01,2026-11-05,,51,51,Education Department,Sai Construction,21.423017,74.54696,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0023,Maharashtra,Jalgaon,Jalgaon,Road,Road development work in Jalgaon,1240000,1250000,599752,2026-07-05,2026-11-04,,40,49,Rural Development Agency,Om Civil Works,19.601525,85.076571,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0024,Karnataka,Bengaluru Urban,Bengaluru,Health Facility,Health Facility development work in Bengaluru Urban,2140000,2200000,856000,2026-01-20,2026-07-26,,19,40,Municipal Corporation,District Works Cooperative,23.90269,75.796953,Delayed,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0025,Uttar Pradesh,Agra,Agra,Drainage,Drainage development work in Agra,640000,630000,438963,2026-01-09,2026-07-25,,59,69,Rural Development Agency,ABC Infrastructure Pvt Ltd,15.556006,84.358691,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0026,Uttar Pradesh,Lucknow,Lucknow,Library,Library development work in Lucknow,1380000,1340000,1324800,2026-05-02,2026-12-24,,21,96,Municipal Council,Maharashtra Works Agency,17.089353,87.68416,Under Review,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0027,Madhya Pradesh,Indore,Indore,Sports Facility,Sports Facility development work in Indore,960000,940000,275737,2026-02-22,2026-04-29,,36,31,Zilla Parishad,Shree Buildcon,15.343967,85.00912,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0028,Bihar,Patna,Patna,School Building,School Building development work in Patna,2660000,2640000,1953229,2026-02-05,2026-06-15,,73,79,District Health Office,Om Civil Works,19.999976,83.750521,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0029,Gujarat,Rajkot,Rajkot,Drainage,Drainage development work in Rajkot,2160000,2100000,1126484,2026-07-24,2026-10-05,,44,55,Public Works Department,Maharashtra Works Agency,14.405202,73.709409,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0030,Uttar Pradesh,Lucknow,Lucknow,Community Hall,Community Hall development work in Lucknow,930000,950000,892448,2026-04-13,2026-09-27,2026-09-30,95,100,Municipal Corporation,Sai Construction,11.22689,77.142017,Completed,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0031,Karnataka,Belagavi,Belagavi,School Building,School Building development work in Belagavi,1030000,1030000,793100,2026-07-06,2026-10-07,,37,77,Public Works Department,Sai Construction,22.425261,80.254329,Under Review,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0032,Tamil Nadu,Madurai,Madurai,Community Hall,Community Hall development work in Madurai,1950000,2000000,1740271,2026-05-07,2026-08-19,,84,94,Municipal Council,Om Civil Works,23.584414,82.815899,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0033,Maharashtra,Palghar,Palghar,Solar Lighting,Solar Lighting development work in Palghar,720000,730000,492715,2026-08-17,2026-11-23,,80,72,Rural Development Agency,ABC Infrastructure Pvt Ltd,10.121788,86.835593,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0034,Madhya Pradesh,Jabalpur,Jabalpur,School Building,School Building development work in Jabalpur,4020000,3980000,2733600,2026-06-10,2027-01-23,,39,68,District Health Office,National Infra Services,16.035139,81.81818,Under Review,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0035,Madhya Pradesh,Ujjain,Ujjain,Road,Road development work in Ujjain,1540000,1550000,899875,2026-04-15,2026-11-17,,54,59,Education Department,Maharashtra Works Agency,23.344999,79.407311,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0036,Madhya Pradesh,Ujjain,Ujjain,School Building,School Building development work in Ujjain,2170000,2130000,954800,2026-06-01,2026-11-14,,43,44,Rural Development Agency,ABC Infrastructure Pvt Ltd,18.291146,75.890338,Under Review,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0037,Bihar,Darbhanga,Darbhanga,Sports Facility,Sports Facility development work in Darbhanga,340000,340000,187370,2026-04-23,2026-07-28,,46,57,Rural Development Agency,Maharashtra Works Agency,8.032069,77.821465,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
