image_id,project_id,image_path,capture_date,latitude,longitude,image_type,data_source
IMG-0001-1,MPLADS-SYN-0001,images/IMG-0001-1.jpg,2026-06-05,16.648976,72.491447,Progress,SYNTHETIC_METADATA
IMG-0001-2,MPLADS-SYN-0001,images/IMG-0001-2.jpg,2026-08-08,16.649516,72.492016,Progress,SYNTHETIC_METADATA
IMG-0002-1,MPLADS-SYN-0002,images/IMG-0002-1.jpg,2026-06-12,15.792228,79.481515,Progress,SYNTHETIC_METADATA
IMG-0002-2,MPLADS-SYN-0002,images/IMG-0002-2.jpg,2026-07-17,15.792351,79.481355,Progress,SYNTHETIC_METADATA
IMG-0003-1,MPLADS-SYN-0003,images/IMG-0003-1.jpg,2026-04-11,11.133589,74.639711,Progress,SYNTHETIC_METADATA
IMG-0003-2,MPLADS-SYN-0003,images/IMG-0003-2.jpg,2026-03-29,11.1329,74.639966,Progress,SYNTHETIC_METADATA
IMG-0004-1,MPLADS-SYN-0004,images/IMG-0004-1.jpg,2026-07-30,25.998718,87.62472,Progress,SYNTHETIC_METADATA
IMG-0004-2,MPLADS-SYN-0004,images/IMG-0004-2.jpg,2026-08-31,25.998917,87.624237,Progress,SYNTHETIC_METADATA
IMG-0005-1,MPLADS-SYN-0005,images/IMG-0005-1.jpg,2026-06-15,17.95142,80.897303,Progress,SYNTHETIC_METADATA
IMG-0005-2,MPLADS-SYN-0005,images/IMG-0005-2.jpg,2026-06-14,17.951353,80.896958,Progress,SYNTHETIC_METADATA
IMG-0006-1,MPLADS-SYN-0006,images/IMG-0006-1.jpg,2026-10-13,15.768853,88.258038,Progress,SYNTHETIC_METADATA
IMG-0006-2,MPLADS-SYN-0006,images/IMG-0006-2.jpg,2027-01-06,15.768695,88.257691,Progress,SYNTHETIC_METADATA
IMG-0007-1,MPLADS-SYN-0007,images/IMG-0007-1.jpg,2026-12-06,12.893216,78.529974,Progress,SYNTHETIC_METADATA
IMG-0007-2,MPLADS-SYN-0007,images/IMG-0007-2.jpg,2026-12-09,12.893117,78.530898,Progress,SYNTHETIC_METADATA
IMG-0008-1,MPLADS-SYN-0008,images/IMG-0008-1.jpg,2026-07-09,22.711483,75.359828,Progress,SYNTHETIC_METADATA
IMG-0008-2,MPLADS-SYN-0008,images/IMG-0008-2.jpg,2026-03-21,22.711449,75.359066,Progress,SYNTHETIC_METADATA
IMG-0009-1,MPLADS-SYN-0009,images/IMG-0009-1.jpg,2026-08-31,11.33165,85.198603,Progress,SYNTHETIC_METADATA
IMG-0009-2,MPLADS-SYN-0009,images/IMG-0009-2.jpg,2026-08-31,11.331137,85.198145,Progress,SYNTHETIC_METADATA
IMG-0010-1,MPLADS-SYN-0010,images/IMG-0010-1.jpg,2026-06-26,15.086763,84.976468,Progress,SYNTHETIC_METADATA
IMG-0010-2,MPLADS-SYN-0010,images/IMG-0010-2.jpg,2026-07-26,15.086655,84.975971,Progress,SYNTHETIC_METADATA
IMG-0011-1,MPLADS-SYN-0011,images/IMG-0011-1.jpg,2026-07-19,12.381157,79.807291,Progress,SYNTHETIC_METADATA
IMG-0011-2,MPLADS-SYN-0011,images/IMG-0011-2.jpg,2026-11-01,12.380844,79.807629,Progress,SYNTHETIC_METADATA
IMG-0012-1,MPLADS-SYN-0012,images/IMG-0012-1.jpg,2026-10-09,22.745521,80.328924,Progress,SYNTHETIC_METADATA
IMG-0012-2,MPLADS-SYN-0012,images/IMG-0012-2.jpg,2026-07-07,22.745473,80.329106,Progress,SYNTHETIC_METADATA
IMG-0013-1,MPLADS-SYN-0013,images/IMG-0013-1.jpg,2026-10-26,19.19549,81.954119,Progress,SYNTHETIC_METADATA
IMG-0013-2,MPLADS-SYN-0013,images/IMG-0013-2.jpg,2026-11-05,19.195464,81.95325,Progress,SYNTHETIC_METADATA
IMG-0014-1,MPLADS-SYN-0014,images/IMG-0014-1.jpg,2026-08-02,8.636306,76.080302,Progress,SYNTHETIC_METADATA
